Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Weight (kg),Length (cm),Width (cm),Height (cm),Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,DM-VEST-001,Vestido Floral Manga Curta Infantil,1,1,visible,"Vestido leve de algodao com estampa floral, ideal para passeio de verao. Tecido macio que nao irrita a pele e forro no corpo para mais conforto.","<p>Vestido infantil confeccionado em 100% algodao, com estampa floral exclusiva.</p><ul><li>Composicao: 100% algodao</li><li>Forro no corpo</li><li>Fechamento por botao nas costas</li><li>Lavar a maquina em agua fria, nao usar alvejante</li></ul><p><strong>Como veste:</strong> modelagem solta e confortavel. Veste no tamanho.</p><p><strong>Medidas da peca (torax x comprimento):</strong><br>Tam 2: 28 cm x 50 cm<br>Tam 4: 31 cm x 56 cm<br>Tam 6: 34 cm x 62 cm<br>Tam 8: 37 cm x 68 cm</p>",1,,89.90,,"Menina > Vestido, Ocasioes > Passeio, Colecoes > Verao","verao, floral, algodao",0.25,25,20,4,"https://docemate.com.br/wp-content/uploads/vestido-floral-infantil-rosa-frente.jpg, https://docemate.com.br/wp-content/uploads/vestido-floral-infantil-rosa-costas.jpg",,Tamanho,"2 | 4 | 6 | 8",1,1,Cor,"Rosa | Azul",1,1
variation,DM-VEST-001-2-RO,Vestido Floral Manga Curta Infantil - 2 / Rosa,1,0,visible,,,1,5,89.90,,,,0.25,25,20,4,,DM-VEST-001,Tamanho,2,1,1,Cor,Rosa,1,1
variation,DM-VEST-001-4-RO,Vestido Floral Manga Curta Infantil - 4 / Rosa,1,0,visible,,,1,8,89.90,,,,0.25,25,20,4,,DM-VEST-001,Tamanho,4,1,1,Cor,Rosa,1,1
variation,DM-VEST-001-6-RO,Vestido Floral Manga Curta Infantil - 6 / Rosa,1,0,visible,,,1,6,89.90,,,,0.26,25,20,4,,DM-VEST-001,Tamanho,6,1,1,Cor,Rosa,1,1
variation,DM-VEST-001-8-RO,Vestido Floral Manga Curta Infantil - 8 / Rosa,1,0,visible,,,1,3,94.90,,,,0.27,25,20,4,,DM-VEST-001,Tamanho,8,1,1,Cor,Rosa,1,1
variation,DM-VEST-001-2-AZ,Vestido Floral Manga Curta Infantil - 2 / Azul,1,0,visible,,,1,4,89.90,,,,0.25,25,20,4,,DM-VEST-001,Tamanho,2,1,1,Cor,Azul,1,1
variation,DM-VEST-001-4-AZ,Vestido Floral Manga Curta Infantil - 4 / Azul,1,0,visible,,,1,7,89.90,,,,0.25,25,20,4,,DM-VEST-001,Tamanho,4,1,1,Cor,Azul,1,1
variation,DM-VEST-001-6-AZ,Vestido Floral Manga Curta Infantil - 6 / Azul,1,0,visible,,,1,0,89.90,,,,0.26,25,20,4,,DM-VEST-001,Tamanho,6,1,1,Cor,Azul,1,1
variation,DM-VEST-001-8-AZ,Vestido Floral Manga Curta Infantil - 8 / Azul,1,0,visible,,,1,2,94.90,,,,0.27,25,20,4,,DM-VEST-001,Tamanho,8,1,1,Cor,Azul,1,1
variable,DM-BODY-001,Body Manga Longa Bebe Basico,1,0,visible,"Body basico de manga longa em suedine de algodao, com botoes de pressao no entrepernas. Peca essencial do enxoval.","<p>Body infantil em suedine 100% algodao, toque macio e alta durabilidade.</p><ul><li>Composicao: 100% algodao</li><li>Botoes de pressao no entrepernas para facilitar a troca</li><li>Gola envelopada</li><li>Lavar a maquina em agua fria</li></ul><p><strong>Como veste:</strong> veste no tamanho. Se o bebe estiver entre dois tamanhos, escolha o maior.</p>",1,,39.90,34.90,"Bebe > Body e macacao, Colecoes > Inverno","enxoval, algodao, basico",0.15,20,15,3,https://docemate.com.br/wp-content/uploads/body-manga-longa-bebe-branco-frente.jpg,,Tamanho,"RN | P | M | G",1,1,Cor,"Branco | Cinza",1,1
variation,DM-BODY-001-RN-BR,Body Manga Longa Bebe Basico - RN / Branco,1,0,visible,,,1,10,39.90,34.90,,,0.14,20,15,3,,DM-BODY-001,Tamanho,RN,1,1,Cor,Branco,1,1
variation,DM-BODY-001-P-BR,Body Manga Longa Bebe Basico - P / Branco,1,0,visible,,,1,12,39.90,34.90,,,0.15,20,15,3,,DM-BODY-001,Tamanho,P,1,1,Cor,Branco,1,1
variation,DM-BODY-001-M-BR,Body Manga Longa Bebe Basico - M / Branco,1,0,visible,,,1,9,39.90,34.90,,,0.15,20,15,3,,DM-BODY-001,Tamanho,M,1,1,Cor,Branco,1,1
variation,DM-BODY-001-G-BR,Body Manga Longa Bebe Basico - G / Branco,1,0,visible,,,1,6,39.90,34.90,,,0.16,20,15,3,,DM-BODY-001,Tamanho,G,1,1,Cor,Branco,1,1
variation,DM-BODY-001-RN-CZ,Body Manga Longa Bebe Basico - RN / Cinza,1,0,visible,,,1,8,39.90,34.90,,,0.14,20,15,3,,DM-BODY-001,Tamanho,RN,1,1,Cor,Cinza,1,1
variation,DM-BODY-001-P-CZ,Body Manga Longa Bebe Basico - P / Cinza,1,0,visible,,,1,11,39.90,34.90,,,0.15,20,15,3,,DM-BODY-001,Tamanho,P,1,1,Cor,Cinza,1,1
variation,DM-BODY-001-M-CZ,Body Manga Longa Bebe Basico - M / Cinza,1,0,visible,,,1,7,39.90,34.90,,,0.15,20,15,3,,DM-BODY-001,Tamanho,M,1,1,Cor,Cinza,1,1
variation,DM-BODY-001-G-CZ,Body Manga Longa Bebe Basico - G / Cinza,1,0,visible,,,1,5,39.90,34.90,,,0.16,20,15,3,,DM-BODY-001,Tamanho,G,1,1,Cor,Cinza,1,1
simple,DM-SAIDA-001,Saida de Maternidade Tricot Unissex,1,1,visible,"Kit saida de maternidade em tricot macio, com casaco, calca, touca e manta. Presente perfeito para o nascimento.","<p>Kit completo de saida de maternidade em tricot antialergico.</p><ul><li>Composicao: 60% algodao, 40% acrilico</li><li>Itens inclusos: casaco, calca, touca e manta</li><li>Tamanho unico RN (ate 1 mes)</li><li>Lavar a mao em agua fria</li></ul><p>Acompanha embalagem para presente.</p>",1,4,249.90,,"Bebe > Saida de maternidade, Ocasioes > Festa","enxoval, presente, tricot",0.6,35,28,10,https://docemate.com.br/wp-content/uploads/saida-maternidade-tricot-branco.jpg,,,,,,,,,
