Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Weight (kg),Length (cm),Width (cm),Height (cm),Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,TESTE-01,[TESTE] Vestido Floral Manga Curta,1,1,visible,"Peca de teste. Serve para conferir o seletor de tamanho e cor, o estoque por variacao e o aviso de esgotado.","<p><strong>Esta peca nao existe.</strong> Foi criada so para testar a loja e deve ser apagada antes do lancamento.</p><p>Serve para verificar: seletor de duas variacoes, preco diferente por tamanho, estoque separado por variacao e o aviso de esgotado no tamanho 6 azul.</p><p>Composicao: 100% algodao. Lavar a maquina em agua fria.</p>",1,,89.90,,"TESTE, Menina (2 a 12 anos)","teste",0.25,25,20,4,,Tamanho,"2, 4, 6",1,1,Cor,"Rosa, Azul",1,1
variation,TESTE-01-2-RO,[TESTE] Vestido Floral - 2 / Rosa,1,0,visible,,,1,5,89.90,,,,0.25,25,20,4,TESTE-01,Tamanho,2,1,1,Cor,Rosa,1,1
variation,TESTE-01-4-RO,[TESTE] Vestido Floral - 4 / Rosa,1,0,visible,,,1,8,89.90,,,,0.25,25,20,4,TESTE-01,Tamanho,4,1,1,Cor,Rosa,1,1
variation,TESTE-01-6-RO,[TESTE] Vestido Floral - 6 / Rosa,1,0,visible,,,1,3,94.90,,,,0.26,25,20,4,TESTE-01,Tamanho,6,1,1,Cor,Rosa,1,1
variation,TESTE-01-2-AZ,[TESTE] Vestido Floral - 2 / Azul,1,0,visible,,,1,4,89.90,,,,0.25,25,20,4,TESTE-01,Tamanho,2,1,1,Cor,Azul,1,1
variation,TESTE-01-4-AZ,[TESTE] Vestido Floral - 4 / Azul,1,0,visible,,,1,6,89.90,,,,0.25,25,20,4,TESTE-01,Tamanho,4,1,1,Cor,Azul,1,1
variation,TESTE-01-6-AZ,[TESTE] Vestido Floral - 6 / Azul,1,0,visible,,,0,0,94.90,,,,0.26,25,20,4,TESTE-01,Tamanho,6,1,1,Cor,Azul,1,1
variable,TESTE-02,[TESTE] Body Manga Longa Basico,1,0,visible,"Peca de teste. Serve para conferir uma variacao unica (so tamanho) e a exibicao de preco promocional.","<p><strong>Esta peca nao existe.</strong> Foi criada so para testar a loja e deve ser apagada antes do lancamento.</p><p>Serve para verificar: produto variavel com um unico atributo, etiqueta de promocao e preco antigo riscado ao lado do novo.</p>",1,,39.90,29.90,"TESTE, Bebê (0 a 24 meses)","teste",0.15,20,15,3,,Tamanho,"RN, P, M, G",1,1,,,,
variation,TESTE-02-RN,[TESTE] Body Manga Longa - RN,1,0,visible,,,1,10,39.90,29.90,,,0.14,20,15,3,TESTE-02,Tamanho,RN,1,1,,,,
variation,TESTE-02-P,[TESTE] Body Manga Longa - P,1,0,visible,,,1,12,39.90,29.90,,,0.15,20,15,3,TESTE-02,Tamanho,P,1,1,,,,
variation,TESTE-02-M,[TESTE] Body Manga Longa - M,1,0,visible,,,1,9,39.90,29.90,,,0.15,20,15,3,TESTE-02,Tamanho,M,1,1,,,,
variation,TESTE-02-G,[TESTE] Body Manga Longa - G,1,0,visible,,,1,6,39.90,29.90,,,0.16,20,15,3,TESTE-02,Tamanho,G,1,1,,,,
simple,TESTE-03,[TESTE] Saida de Maternidade Tricot,1,1,visible,"Peca de teste com valor alto. Serve para conferir o frete gratis acima de R$ 249 e o produto em destaque na home.","<p><strong>Esta peca nao existe.</strong> Foi criada so para testar a loja e deve ser apagada antes do lancamento.</p><p>Serve para verificar: produto simples sem variacao, valor que ultrapassa a faixa de frete gratis do RS, peso e volume maiores no calculo do frete, e a secao de destaques da pagina inicial.</p>",1,4,259.90,,"TESTE, Bebê (0 a 24 meses)","teste",0.6,35,28,10,,,,,,,,,
simple,TESTE-04,[TESTE] Camiseta Estampada,1,0,visible,"Peca de teste barata. Serve para conferir o calculo de frete em pedido de valor baixo.","<p><strong>Esta peca nao existe.</strong> Foi criada so para testar a loja e deve ser apagada antes do lancamento.</p><p>Serve para verificar: produto simples de valor baixo, para checar que o frete e cobrado corretamente abaixo da faixa de gratuidade.</p>",1,15,49.90,,"TESTE, Menino (2 a 12 anos)","teste",0.15,20,15,3,,,,,,,,,
simple,TESTE-05,[TESTE] Conjunto Moletom Inverno,1,0,visible,"Peca de teste sem estoque. Serve para conferir como aparece um produto esgotado.","<p><strong>Esta peca nao existe.</strong> Foi criada so para testar a loja e deve ser apagada antes do lancamento.</p><p>Serve para verificar: produto esgotado nao pode ser comprado, o botao de adicionar ao carrinho nao aparece e o aviso de indisponivel e exibido.</p>",0,0,129.90,,"TESTE, Menino (2 a 12 anos)","teste",0.5,32,25,8,,,,,,,,,
